0:	JMP #83
1:	AFC 1 #0
2:	AFC 2 #0
3:	AFC 3 #60
4:	AFC 4 #1
5:	AFC 5 #0
6:	AFC 6 #0
7:	AFC 7 #0
8:	COP 9 3
9:	AFC 10 #1
10:	SUP 9 9 10
11:	JMF #80 9
12:	COP 10 1
13:	COP 11 3
14:	ADD 10 10 11
15:	COP 1 10
16:	COP 11 1
17:	AFC 12 #7
18:	SUP 11 11 12
19:	JMF #25 11
20:	COP 12 1
21:	AFC 13 #7
22:	SOU 12 12 13
23:	COP 1 12
24:	JMP #16
25:	COP 10 1
26:	COP 7 10
27:	AFC 10 #1
28:	COP 6 10
29:	COP 10 1
30:	COP 12 10
31:	AFC 13 #0
32:	SUP 12 12 13
33:	JMF #43 12
34:	COP 13 6
35:	AFC 14 #2
36:	MUL 13 13 14
37:	COP 6 13
38:	COP 13 10
39:	AFC 14 #1
40:	SOU 13 13 14
41:	COP 10 13
42:	JMP #30
43:	COP 11 2
44:	AFC 12 #5
45:	SUP 11 11 12
46:	JMF #50 11
47:	AFC 12 #1
48:	COP 5 12
49:	JMP #50
50:	COP 11 4
51:	COP 13 4
52:	COP 14 11
53:	EQU 13 13 14
54:	COP 14 4
55:	AFC 15 #0
56:	EQU 14 14 15
57:	OR 13 13 14
58:	JMF #62 13
59:	RSS 14
60:	COP 4 14
61:	JMP #51
62:	COP 12 4
63:	COP 13 6
64:	EQU 12 12 13
65:	JMF #71 12
66:	COP 13 2
67:	AFC 14 #1
68:	ADD 13 13 14
69:	COP 2 13
70:	JMP #75
71:	COP 13 2
72:	AFC 14 #1
73:	SOU 13 13 14
74:	COP 2 13
75:	COP 12 3
76:	AFC 13 #1
77:	SOU 12 12 13
78:	COP 3 12
79:	JMP #8
80:	AFC 8 #0
81:	LDR 9 0 0
82:	JMP #9
83:	AFC 1 #0
84:	AFC 2 #87
85:	STR 0 2 0
86:	JMP #1
87:	COP 2 1
88:	AFC 3 #1
89:	ADD 2 2 3
90:	COP 1 2
